,members,p1_members,p2_members,p1_r2,p2_r2,p1_avg_diff,p2_avg_diff
4827,"TWOWAY.1DUQ.7.euler.219,TWOWAY.1DUQ.7.euler.352","TWOWAY.1DUQ.7.euler.252,TWOWAY.1DUQ.7.euler.219","TWOWAY.1DUQ.7.euler.352,TWOWAY.1DUQ.7.euler.324",0.456862582118,0.621064718953,1.11823990305,1.09517590347
4828,"TWOWAY.1DUQ.7.euler.219,TWOWAY.1DUQ.7.euler.324","TWOWAY.1DUQ.7.euler.252,TWOWAY.1DUQ.7.euler.219","TWOWAY.1DUQ.7.euler.352,TWOWAY.1DUQ.7.euler.324",0.456862582118,0.621064718953,1.11823990305,1.09517590347
4829,"TWOWAY.1DUQ.7.euler.75,TWOWAY.1DUQ.7.euler.250","TWOWAY.1DUQ.7.euler.75,TWOWAY.1DUQ.7.euler.410","TWOWAY.1DUQ.7.euler.250,TWOWAY.1DUQ.7.euler.311",0.606597485977,0.619712567662,1.14670353425,1.19643331038
4830,"TWOWAY.1DUQ.7.euler.75,TWOWAY.1DUQ.7.euler.311","TWOWAY.1DUQ.7.euler.75,TWOWAY.1DUQ.7.euler.410","TWOWAY.1DUQ.7.euler.250,TWOWAY.1DUQ.7.euler.311",0.606597485977,0.619712567662,1.14670353425,1.19643331038
4831,"TWOWAY.1DUQ.7.euler.410,TWOWAY.1DUQ.7.euler.250","TWOWAY.1DUQ.7.euler.75,TWOWAY.1DUQ.7.euler.410","TWOWAY.1DUQ.7.euler.250,TWOWAY.1DUQ.7.euler.311",0.606597485977,0.619712567662,1.14670353425,1.19643331038
4832,"TWOWAY.1DUQ.7.euler.410,TWOWAY.1DUQ.7.euler.311","TWOWAY.1DUQ.7.euler.75,TWOWAY.1DUQ.7.euler.410","TWOWAY.1DUQ.7.euler.250,TWOWAY.1DUQ.7.euler.311",0.606597485977,0.619712567662,1.14670353425,1.19643331038
4833,"TWOWAY.1DUQ.7.euler.305,TWOWAY.1DUQ.7.euler.362","TWOWAY.1DUQ.7.euler.305,TWOWAY.1DUQ.7.euler.34","TWOWAY.1DUQ.7.euler.362,TWOWAY.1DUQ.7.euler.357",0.507173892722,0.737734449033,1.05672595749,0.97722654657
4834,"TWOWAY.1DUQ.7.euler.305,TWOWAY.1DUQ.7.euler.357","TWOWAY.1DUQ.7.euler.305,TWOWAY.1DUQ.7.euler.34","TWOWAY.1DUQ.7.euler.362,TWOWAY.1DUQ.7.euler.357",0.507173892722,0.737734449033,1.05672595749,0.97722654657
4835,"TWOWAY.1DUQ.7.euler.34,TWOWAY.1DUQ.7.euler.362","TWOWAY.1DUQ.7.euler.305,TWOWAY.1DUQ.7.euler.34","TWOWAY.1DUQ.7.euler.362,TWOWAY.1DUQ.7.euler.357",0.507173892722,0.737734449033,1.05672595749,0.97722654657
4836,"TWOWAY.1DUQ.7.euler.34,TWOWAY.1DUQ.7.euler.357","TWOWAY.1DUQ.7.euler.305,TWOWAY.1DUQ.7.euler.34","TWOWAY.1DUQ.7.euler.362,TWOWAY.1DUQ.7.euler.357",0.507173892722,0.737734449033,1.05672595749,0.97722654657
4837,"TWOWAY.1DUQ.7.euler.322,TWOWAY.1DUQ.7.euler.350","TWOWAY.1DUQ.7.euler.322,TWOWAY.1DUQ.7.euler.96","TWOWAY.1DUQ.7.euler.350,TWOWAY.1DUQ.7.euler.238",0.722300357657,0.628749540933,1.00486056558,0.876831744636
4838,"TWOWAY.1DUQ.7.euler.322,TWOWAY.1DUQ.7.euler.238","TWOWAY.1DUQ.7.euler.322,TWOWAY.1DUQ.7.euler.96","TWOWAY.1DUQ.7.euler.350,TWOWAY.1DUQ.7.euler.238",0.722300357657,0.628749540933,1.00486056558,0.876831744636
4839,"TWOWAY.1DUQ.7.euler.96,TWOWAY.1DUQ.7.euler.350","TWOWAY.1DUQ.7.euler.322,TWOWAY.1DUQ.7.euler.96","TWOWAY.1DUQ.7.euler.350,TWOWAY.1DUQ.7.euler.238",0.722300357657,0.628749540933,1.00486056558,0.876831744636
4840,"TWOWAY.1DUQ.7.euler.96,TWOWAY.1DUQ.7.euler.238","TWOWAY.1DUQ.7.euler.322,TWOWAY.1DUQ.7.euler.96","TWOWAY.1DUQ.7.euler.350,TWOWAY.1DUQ.7.euler.238",0.722300357657,0.628749540933,1.00486056558,0.876831744636
4841,"TWOWAY.1DUQ.7.euler.464,TWOWAY.1DUQ.7.euler.115","TWOWAY.1DUQ.7.euler.464,TWOWAY.1DUQ.7.euler.188","TWOWAY.1DUQ.7.euler.115,TWOWAY.1DUQ.7.euler.23",0.643499438585,0.640448132052,0.993428691763,0.955346266019
4842,"TWOWAY.1DUQ.7.euler.464,TWOWAY.1DUQ.7.euler.23","TWOWAY.1DUQ.7.euler.464,TWOWAY.1DUQ.7.euler.188","TWOWAY.1DUQ.7.euler.115,TWOWAY.1DUQ.7.euler.23",0.643499438585,0.640448132052,0.993428691763,0.955346266019
4843,"TWOWAY.1DUQ.7.euler.188,TWOWAY.1DUQ.7.euler.115","TWOWAY.1DUQ.7.euler.464,TWOWAY.1DUQ.7.euler.188","TWOWAY.1DUQ.7.euler.115,TWOWAY.1DUQ.7.euler.23",0.643499438585,0.640448132052,0.993428691763,0.955346266019
4844,"TWOWAY.1DUQ.7.euler.188,TWOWAY.1DUQ.7.euler.23","TWOWAY.1DUQ.7.euler.464,TWOWAY.1DUQ.7.euler.188","TWOWAY.1DUQ.7.euler.115,TWOWAY.1DUQ.7.euler.23",0.643499438585,0.640448132052,0.993428691763,0.955346266019
